1463393308 Open pipe from process 5 to process 9: read descriptor 122, write descriptor 123
1463393308 Open pipe from process 9 to process 5: read descriptor 120, write descriptor 121
1463393308 Open pipe from process 6 to process 7: read descriptor 126, write descriptor 127
1463393308 Open pipe from process 7 to process 6: read descriptor 124, write descriptor 125
1463393308 Open pipe from process 6 to process 8: read descriptor 130, write descriptor 131
1463393308 Open pipe from process 8 to process 6: read descriptor 128, write descriptor 129
1463393308 Open pipe from process 6 to process 9: read descriptor 134, write descriptor 135
1463393308 Open pipe from process 9 to process 6: read descriptor 132, write descriptor 133
1463393308 Open pipe from process 7 to process 8: read descriptor 138, write descriptor 139
1463393308 Open pipe from process 8 to process 7: read descriptor 136, write descriptor 137
1463393308 Open pipe from process 7 to process 9: read descriptor 142, write descriptor 143
1463393308 Open pipe from process 9 to process 7: read descriptor 140, write descriptor 141
1463393308 Open pipe from process 8 to process 9: read descriptor 146, write descriptor 147
1463393308 Open pipe from process 9 to process 8: read descriptor 144, write descriptor 145
1463393308 Open pipe from process 0 to process 1: read descriptor 148, write descriptor 149
1463393308 Open pipe from process 0 to process 2: read descriptor 150, write descriptor 151
1463393308 Open pipe from process 0 to process 3: read descriptor 152, write descriptor 153
1463393308 Open pipe from process 0 to process 4: read descriptor 154, write descriptor 155
1463393308 Open pipe from process 0 to process 5: read descriptor 156, write descriptor 157
1463393308 Open pipe from process 0 to process 6: read descriptor 158, write descriptor 159
1463393308 Open pipe from process 0 to process 7: read descriptor 160, write descriptor 161
1463393308 Open pipe from process 0 to process 8: read descriptor 162, write descriptor 163
1463393308 Open pipe from process 0 to process 9: read descriptor 164, write descriptor 165
ad descriptor 92, write descriptor 93
1463393308 Open pipe from process 4 to process 7: read descriptor 98, write descriptor 99
1463393308 Open pipe from process 7 to process 4: read descriptor 96, write descriptor 97
1463393308 Open pipe from process 4 to process 8: read descriptor 102, write descriptor 103
1463393308 Open pipe from process 8 to process 4: read descriptor 100, write descriptor 101
1463393308 Open pipe from process 4 to process 9: read descriptor 106, write descriptor 107
1463393308 Open pipe from process 9 to process 4: read descriptor 104, write descriptor 105
1463393308 Open pipe from process 5 to process 6: read descriptor 110, write descriptor 111
1463393308 Open pipe from process 6 to process 5: read descriptor 108, write descriptor 109
1463393308 Open pipe from process 5 to process 7: read descriptor 114, write descriptor 115
1463393308 Open pipe from process 7 to process 5: read descriptor 112, write descriptor 113
1463393308 Open pipe from process 5 to process 8: read descriptor 118, write descriptor 119
1463393308 Open pipe from process 8 to process 5: read descriptor 116, write descriptor 117
1463393308 Open pipe from process 5 to process 9: read descriptor 122, write descriptor 123
1463393308 Open pipe from process 9 to process 5: read descriptor 120, write descriptor 121
1463393308 Open pipe from process 6 to process 7: read descriptor 126, write descriptor 127
1463393308 Open pipe from process 7 to process 6: read descriptor 124, write descriptor 125
1463393308 Open pipe from process 6 to process 8: read descriptor 130, write descriptor 131
1463393308 Open pipe from process 8 to process 6: read descriptor 128, write descriptor 129
1463393308 Open pipe from process 6 to process 9: read descriptor 134, write descriptor 135
1463393308 Open pipe from process 9 to process 6: read descriptor 132, write descriptor 133
1463393308 Open pipe from process 7 to process 8: read descriptor 138, write descriptor 139
1463393308 Open pipe from process 8 to process 7: read descriptor 136, write descriptor 137
1463393308 Open pipe from process 7 to process 9: read descriptor 142, write descriptor 143
1463393308 Open pipe from process 9 to process 7: read descriptor 140, write descriptor 141
1463393308 Open pipe from process 8 to process 9: read descriptor 146, write descriptor 147
1463393308 Open pipe from process 9 to process 8: read descriptor 144, write descriptor 145
1463393308 Open pipe from process 0 to process 1: read descriptor 148, write descriptor 149
1463393308 Open pipe from process 0 to process 2: read descriptor 150, write descriptor 151
1463393308 Open pipe from process 0 to process 3: read descriptor 152, write descriptor 153
1463393308 Open pipe from process 0 to process 4: read descriptor 154, write descriptor 155
1463393308 Open pipe from process 0 to process 5: read descriptor 156, write descriptor 157
1463393308 Open pipe from process 0 to process 6: read descriptor 158, write descriptor 159
1463393308 Open pipe from process 0 to process 7: read descriptor 160, write descriptor 161
1463393308 Open pipe from process 0 to process 8: read descriptor 162, write descriptor 163
1463393308 Open pipe from process 0 to process 9: read descriptor 164, write descriptor 165
ad descriptor 92, write descriptor 93
1463393308 Open pipe from process 4 to process 7: read descriptor 98, write descriptor 99
1463393308 Open pipe from process 7 to process 4: read descriptor 96, write descriptor 97
1463393308 Open pipe from process 4 to process 8: read descriptor 102, write descriptor 103
1463393308 Open pipe from process 8 to process 4: read descriptor 100, write descriptor 101
1463393308 Open pipe from process 4 to process 9: read descriptor 106, write descriptor 107
1463393308 Open pipe from process 9 to process 4: read descriptor 104, write descriptor 105
1463393308 Open pipe from process 5 to process 6: read descriptor 110, write descriptor 111
1463393308 Open pipe from process 6 to process 5: read descriptor 108, write descriptor 109
1463393308 Open pipe from process 5 to process 7: read descriptor 114, write descriptor 115
1463393308 Open pipe from process 7 to process 5: read descriptor 112, write descriptor 113
1463393308 Open pipe from process 5 to process 8: read descriptor 118, write descriptor 119
1463393308 Open pipe from process 8 to process 5: read descriptor 116, write descriptor 117
1463393308 Open pipe from process 5 to process 9: read descriptor 122, write descriptor 123
1463393308 Open pipe from process 9 to process 5: read descriptor 120, write descriptor 121
1463393308 Open pipe from process 6 to process 7: read descriptor 126, write descriptor 127
1463393308 Open pipe from process 7 to process 6: read descriptor 124, write descriptor 125
1463393308 Open pipe from process 6 to process 8: read descriptor 130, write descriptor 131
1463393308 Open pipe from process 8 to process 6: read descriptor 128, write descriptor 129
1463393308 Open pipe from process 6 to process 9: read descriptor 134, write descriptor 135
1463393308 Open pipe from process 9 to process 6: read descriptor 132, write descriptor 133
1463393308 Open pipe from process 7 to process 8: read descriptor 138, write descriptor 139
1463393308 Open pipe from process 8 to process 7: read descriptor 136, write descriptor 137
1463393308 Open pipe from process 7 to process 9: read descriptor 142, write descriptor 143
1463393308 Open pipe from process 9 to process 7: read descriptor 140, write descriptor 141
1463393308 Open pipe from process 8 to process 9: read descriptor 146, write descriptor 147
1463393308 Open pipe from process 9 to process 8: read descriptor 144, write descriptor 145
1463393308 Open pipe from process 0 to process 1: read descriptor 148, write descriptor 149
1463393308 Open pipe from process 0 to process 2: read descriptor 150, write descriptor 151
1463393308 Open pipe from process 0 to process 3: read descriptor 152, write descriptor 153
1463393308 Open pipe from process 0 to process 4: read descriptor 154, write descriptor 155
1463393308 Open pipe from process 0 to process 5: read descriptor 156, write descriptor 157
1463393308 Open pipe from process 0 to process 6: read descriptor 158, write descriptor 159
1463393308 Open pipe from process 0 to process 7: read descriptor 160, write descriptor 161
1463393308 Open pipe from process 0 to process 8: read descriptor 162, write descriptor 163
1463393308 Open pipe from process 0 to process 9: read descriptor 164, write descriptor 165
ad descriptor 92, write descriptor 93
1463393308 Open pipe from process 4 to process 7: read descriptor 98, write descriptor 99
1463393308 Open pipe from process 7 to process 4: read descriptor 96, write descriptor 97
1463393308 Open pipe from process 4 to process 8: read descriptor 102, write descriptor 103
1463393308 Open pipe from process 8 to process 4: read descriptor 100, write descriptor 101
1463393308 Open pipe from process 4 to process 9: read descriptor 106, write descriptor 107
1463393308 Open pipe from process 9 to process 4: read descriptor 104, write descriptor 105
1463393308 Open pipe from process 5 to process 6: read descriptor 110, write descriptor 111
1463393308 Open pipe from process 6 to process 5: read descriptor 108, write descriptor 109
1463393308 Open pipe from process 5 to process 7: read descriptor 114, write descriptor 115
1463393308 Open pipe from process 7 to process 5: read descriptor 112, write descriptor 113
1463393308 Open pipe from process 5 to process 8: read descriptor 118, write descriptor 119
1463393308 Open pipe from process 8 to process 5: read descriptor 116, write descriptor 117
1463393308 Open pipe from process 5 to process 9: read descriptor 122, write descriptor 123
1463393308 Open pipe from process 9 to process 5: read descriptor 120, write descriptor 121
1463393308 Open pipe from process 6 to process 7: read descriptor 126, write descriptor 127
1463393308 Open pipe from process 7 to process 6: read descriptor 124, write descriptor 125
1463393308 Open pipe from process 6 to process 8: read descriptor 130, write descriptor 131
1463393308 Open pipe from process 8 to process 6: read descriptor 128, write descriptor 129
1463393308 Open pipe from process 6 to process 9: read descriptor 134, write descriptor 135
1463393308 Open pipe from process 9 to process 6: read descriptor 132, write descriptor 133
1463393308 Open pipe from process 7 to process 8: read descriptor 138, write descriptor 139
1463393308 Open pipe from process 8 to process 7: read descriptor 136, write descriptor 137
1463393308 Open pipe from process 7 to process 9: read descriptor 142, write descriptor 143
1463393308 Open pipe from process 9 to process 7: read descriptor 140, write descriptor 141
1463393308 Open pipe from process 8 to process 9: read descriptor 146, write descriptor 147
1463393308 Open pipe from process 9 to process 8: read descriptor 144, write descriptor 145
1463393308 Open pipe from process 0 to process 1: read descriptor 148, write descriptor 149
1463393308 Open pipe from process 0 to process 2: read descriptor 150, write descriptor 151
1463393308 Open pipe from process 0 to process 3: read descriptor 152, write descriptor 153
1463393308 Open pipe from process 0 to process 4: read descriptor 154, write descriptor 155
1463393308 Open pipe from process 0 to process 5: read descriptor 156, write descriptor 157
1463393308 Open pipe from process 0 to process 6: read descriptor 158, write descriptor 159
1463393308 Open pipe from process 0 to process 7: read descriptor 160, write descriptor 161
1463393308 Open pipe from process 0 to process 8: read descriptor 162, write descriptor 163
1463393308 Open pipe from process 0 to process 9: read descriptor 164, write descriptor 165
ad descriptor 92, write descriptor 93
1463393308 Open pipe from process 4 to process 7: read descriptor 98, write descriptor 99
1463393308 Open pipe from process 7 to process 4: read descriptor 96, write descriptor 97
1463393308 Open pipe from process 4 to process 8: read descriptor 102, write descriptor 103
1463393308 Open pipe from process 8 to process 4: read descriptor 100, write descriptor 101
1463393308 Open pipe from process 4 to process 9: read descriptor 106, write descriptor 107
1463393308 Open pipe from process 9 to process 4: read descriptor 104, write descriptor 105
1463393308 Open pipe from process 5 to process 6: read descriptor 110, write descriptor 111
1463393308 Open pipe from process 6 to process 5: read descriptor 108, write descriptor 109
1463393308 Open pipe from process 5 to process 7: read descriptor 114, write descriptor 115
1463393308 Open pipe from process 7 to process 5: read descriptor 112, write descriptor 113
1463393308 Open pipe from process 5 to process 8: read descriptor 118, write descriptor 119
1463393308 Open pipe from process 8 to process 5: read descriptor 116, write descriptor 117
1463393308 Open pipe from process 5 to process 9: read descriptor 122, write descriptor 123
1463393308 Open pipe from process 9 to process 5: read descriptor 120, write descriptor 121
1463393308 Open pipe from process 6 to process 7: read descriptor 126, write descriptor 127
1463393308 Open pipe from process 7 to process 6: read descriptor 124, write descriptor 125
1463393308 Open pipe from process 6 to process 8: read descriptor 130, write descriptor 131
1463393308 Open pipe from process 8 to process 6: read descriptor 128, write descriptor 129
1463393308 Open pipe from process 6 to process 9: read descriptor 134, write descriptor 135
1463393308 Open pipe from process 9 to process 6: read descriptor 132, write descriptor 133
1463393308 Open pipe from process 7 to process 8: read descriptor 138, write descriptor 139
1463393308 Open pipe from process 8 to process 7: read descriptor 136, write descriptor 137
1463393308 Open pipe from process 7 to process 9: read descriptor 142, write descriptor 143
1463393308 Open pipe from process 9 to process 7: read descriptor 140, write descriptor 141
1463393308 Open pipe from process 8 to process 9: read descriptor 146, write descriptor 147
1463393308 Open pipe from process 9 to process 8: read descriptor 144, write descriptor 145
1463393308 Open pipe from process 0 to process 1: read descriptor 148, write descriptor 149
1463393308 Open pipe from process 0 to process 2: read descriptor 150, write descriptor 151
1463393308 Open pipe from process 0 to process 3: read descriptor 152, write descriptor 153
1463393308 Open pipe from process 0 to process 4: read descriptor 154, write descriptor 155
1463393308 Open pipe from process 0 to process 5: read descriptor 156, write descriptor 157
1463393308 Open pipe from process 0 to process 6: read descriptor 158, write descriptor 159
1463393308 Open pipe from process 0 to process 7: read descriptor 160, write descriptor 161
1463393308 Open pipe from process 0 to process 8: read descriptor 162, write descriptor 163
1463393308 Open pipe from process 0 to process 9: read descriptor 164, write descriptor 165
ad descriptor 92, write descriptor 93
1463393308 Open pipe from process 4 to process 7: read descriptor 98, write descriptor 99
1463393308 Open pipe from process 7 to process 4: read descriptor 96, write descriptor 97
1463393308 Open pipe from process 4 to process 8: read descriptor 102, write descriptor 103
1463393308 Open pipe from process 8 to process 4: read descriptor 100, write descriptor 101
1463393308 Open pipe from process 4 to process 9: read descriptor 106, write descriptor 107
1463393308 Open pipe from process 9 to process 4: read descriptor 104, write descriptor 105
1463393308 Open pipe from process 5 to process 6: read descriptor 110, write descriptor 111
1463393308 Open pipe from process 6 to process 5: read descriptor 108, write descriptor 109
1463393308 Open pipe from process 5 to process 7: read descriptor 114, write descriptor 115
1463393308 Open pipe from process 7 to process 5: read descriptor 112, write descriptor 113
1463393308 Open pipe from process 5 to process 8: read descriptor 118, write descriptor 119
1463393308 Open pipe from process 8 to process 5: read descriptor 116, write descriptor 117
1463393308 Open pipe from process 5 to process 9: read descriptor 122, write descriptor 123
1463393308 Open pipe from process 9 to process 5: read descriptor 120, write descriptor 121
1463393308 Open pipe from process 6 to process 7: read descriptor 126, write descriptor 127
1463393308 Open pipe from process 7 to process 6: read descriptor 124, write descriptor 125
1463393308 Open pipe from process 6 to process 8: read descriptor 130, write descriptor 131
1463393308 Open pipe from process 8 to process 6: read descriptor 128, write descriptor 129
1463393308 Open pipe from process 6 to process 9: read descriptor 134, write descriptor 135
1463393308 Open pipe from process 9 to process 6: read descriptor 132, write descriptor 133
1463393308 Open pipe from process 7 to process 8: read descriptor 138, write descriptor 139
1463393308 Open pipe from process 8 to process 7: read descriptor 136, write descriptor 137
1463393308 Open pipe from process 7 to process 9: read descriptor 142, write descriptor 143
1463393308 Open pipe from process 9 to process 7: read descriptor 140, write descriptor 141
1463393308 Open pipe from process 8 to process 9: read descriptor 146, write descriptor 147
1463393308 Open pipe from process 9 to process 8: read descriptor 144, write descriptor 145
1463393308 Open pipe from process 0 to process 1: read descriptor 148, write descriptor 149
1463393308 Open pipe from process 0 to process 2: read descriptor 150, write descriptor 151
1463393308 Open pipe from process 0 to process 3: read descriptor 152, write descriptor 153
1463393308 Open pipe from process 0 to process 4: read descriptor 154, write descriptor 155
1463393308 Open pipe from process 0 to process 5: read descriptor 156, write descriptor 157
1463393308 Open pipe from process 0 to process 6: read descriptor 158, write descriptor 159
1463393308 Open pipe from process 0 to process 7: read descriptor 160, write descriptor 161
1463393308 Open pipe from process 0 to process 8: read descriptor 162, write descriptor 163
1463393308 Open pipe from process 0 to process 9: read descriptor 164, write descriptor 165
ad descriptor 92, write descriptor 93
1463393308 Open pipe from process 4 to process 7: read descriptor 98, write descriptor 99
1463393308 Open pipe from process 7 to process 4: read descriptor 96, write descriptor 97
1463393308 Open pipe from process 4 to process 8: read descriptor 102, write descriptor 103
1463393308 Open pipe from process 8 to process 4: read descriptor 100, write descriptor 101
1463393308 Open pipe from process 4 to process 9: read descriptor 106, write descriptor 107
1463393308 Open pipe from process 9 to process 4: read descriptor 104, write descriptor 105
1463393308 Open pipe from process 5 to process 6: read descriptor 110, write descriptor 111
1463393308 Open pipe from process 6 to process 5: read descriptor 108, write descriptor 109
1463393308 Open pipe from process 5 to process 7: read descriptor 114, write descriptor 115
1463393308 Open pipe from process 7 to process 5: read descriptor 112, write descriptor 113
1463393308 Open pipe from process 5 to process 8: read descriptor 118, write descriptor 119
1463393308 Open pipe from process 8 to process 5: read descriptor 116, write descriptor 117
1463393308 Open pipe from process 5 to process 9: read descriptor 122, write descriptor 123
1463393308 Open pipe from process 9 to process 5: read descriptor 120, write descriptor 121
